# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.401613521575927734e+01 1.406415748596191406e+01 5.982729196548461914e-01
1.000000000000000000e+03 6.686437129974365234e-02 6.403571367263793945e-02 7.427653074264526367e-01
2.000000000000000000e+03 3.122632019221782684e-02 2.937932871282100677e-02 5.384799838066101074e-01
3.000000000000000000e+03 1.784541457891464233e-02 1.674689538776874542e-02 4.269083440303802490e-01
4.000000000000000000e+03 8.520107716321945190e-03 8.080891333520412445e-03 3.150517344474792480e-01
5.000000000000000000e+03 2.336193807423114777e-03 2.233551116660237312e-03 1.723879277706146240e-01
6.000000000000000000e+03 7.139365188777446747e-04 7.136116037145256996e-04 7.156318426132202148e-02
7.000000000000000000e+03 7.057034526951611042e-04 7.138774963095784187e-04 3.115564770996570587e-02
8.000000000000000000e+03 4.440494521986693144e-04 4.484256205614656210e-04 2.868749760091304779e-02
9.000000000000000000e+03 6.547616212628781796e-04 6.604149239137768745e-04 3.732178360223770142e-02
1.000000000000000000e+04 2.749739505816251040e-04 2.788245910778641701e-04 5.018796771764755249e-02
1.100000000000000000e+04 2.470429753884673119e-04 2.511676284484565258e-04 5.918125808238983154e-02
1.200000000000000000e+04 2.189476072089746594e-04 2.225669159088283777e-04 6.502183526754379272e-02
1.300000000000000000e+04 2.888873277697712183e-04 2.954996307380497456e-04 6.763444840908050537e-02
1.400000000000000000e+04 1.190965808928012848e-02 1.213970687240362167e-02 6.723699718713760376e-02
1.500000000000000000e+04 7.910223794169723988e-04 8.031261386349797249e-04 7.199232280254364014e-02
1.600000000000000000e+04 8.336725644767284393e-03 8.379312232136726379e-03 8.135647326707839966e-02
1.700000000000000000e+04 1.250092027476057410e-04 1.322758325841277838e-04 6.909397989511489868e-02
1.800000000000000000e+04 1.234835217474028468e-04 1.281199511140584946e-04 6.729389727115631104e-02
1.900000000000000000e+04 1.161257084459066391e-02 1.174290850758552551e-02 7.326890528202056885e-02
2.000000000000000000e+04 2.414381888229399920e-04 2.496685192454606295e-04 5.909336358308792114e-02
2.100000000000000000e+04 4.670503549277782440e-04 4.841546469833701849e-04 5.817572772502899170e-02
2.200000000000000000e+04 1.556834019720554352e-02 1.576456613838672638e-02 6.957454979419708252e-02
2.300000000000000000e+04 1.186478184536099434e-03 1.210551708936691284e-03 5.082257091999053955e-02
2.400000000000000000e+04 9.019160061143338680e-04 9.279915830120444298e-04 4.278113320469856262e-02
2.500000000000000000e+04 4.986450658179819584e-04 5.057455855421721935e-04 4.026219621300697327e-02
2.600000000000000000e+04 2.436843205941841006e-04 2.498880785424262285e-04 3.442566841840744019e-02
2.700000000000000000e+04 1.336171117145568132e-04 1.434144796803593636e-04 3.186205402016639709e-02
2.800000000000000000e+04 1.057234840118326247e-04 1.155832869699224830e-04 2.685150131583213806e-02
