0 [5.00e-02, 1.00e+00]
1000 [1.02e-02, 1.74e+00]
2000 [2.50e-02, 1.47e+00]
3000 [3.45e-02, 1.50e+00]
4000 [3.87e-02, 1.51e+00]
5000 [4.25e-02, 1.55e+00]
6000 [4.69e-02, 1.60e+00]
7000 [5.23e-02, 1.66e+00]
8000 [5.91e-02, 1.72e+00]
9000 [6.59e-02, 1.77e+00]
10000 [7.16e-02, 1.81e+00]
11000 [7.61e-02, 1.83e+00]
12000 [7.97e-02, 1.85e+00]
13000 [8.31e-02, 1.87e+00]
14000 [8.59e-02, 1.89e+00]
15000 [8.85e-02, 1.91e+00]
16000 [9.03e-02, 1.92e+00]
17000 [9.11e-02, 1.93e+00]
18000 [9.31e-02, 1.94e+00]
19000 [9.39e-02, 1.95e+00]
20000 [9.47e-02, 1.95e+00]
