# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.472826862335205078e+01 1.478139400482177734e+01 1.018386960029602051e+00
1.000000000000000000e+03 9.938063472509384155e-02 9.360437095165252686e-02 7.667157053947448730e-01
2.000000000000000000e+03 1.637976616621017456e-01 1.635981202125549316e-01 4.494995176792144775e-01
3.000000000000000000e+03 3.923435695469379425e-03 3.976942505687475204e-03 1.906714737415313721e-01
4.000000000000000000e+03 1.308610895648598671e-03 1.387340482324361801e-03 1.033453643321990967e-01
5.000000000000000000e+03 9.987824596464633942e-04 1.060769078321754932e-03 8.386070281267166138e-02
6.000000000000000000e+03 1.212940271943807602e-02 1.229551993310451508e-02 9.848231077194213867e-02
7.000000000000000000e+03 8.847360732033848763e-04 9.184003574773669243e-04 5.926845595240592957e-02
8.000000000000000000e+03 2.208223100751638412e-03 2.241277135908603668e-03 5.408540740609169006e-02
9.000000000000000000e+03 3.860611468553543091e-04 3.965548530686646700e-04 4.879704862833023071e-02
1.000000000000000000e+04 6.020917091518640518e-03 6.090599577873945236e-03 6.199919059872627258e-02
1.100000000000000000e+04 3.480304148979485035e-04 3.561252378858625889e-04 5.106462910771369934e-02
1.200000000000000000e+04 2.670202811714261770e-04 2.768391277641057968e-04 4.757812619209289551e-02
1.300000000000000000e+04 2.607104543130844831e-04 2.702305500861257315e-04 4.669267684221267700e-02
1.400000000000000000e+04 3.563300124369561672e-04 3.648701240308582783e-04 4.887931048870086670e-02
1.500000000000000000e+04 1.099187880754470825e-03 1.116205472499132156e-03 4.316161945462226868e-02
1.600000000000000000e+04 4.762235563248395920e-03 4.878979641944169998e-03 5.394818261265754700e-02
1.700000000000000000e+04 2.058517420664429665e-04 2.163236786145716906e-04 5.674052238464355469e-02
1.800000000000000000e+04 2.564550959505140781e-04 2.698356984183192253e-04 5.773051455616950989e-02
1.900000000000000000e+04 1.891465217340737581e-04 2.001052635023370385e-04 5.875056982040405273e-02
2.000000000000000000e+04 4.558812943287193775e-04 4.707813204731792212e-04 6.162902712821960449e-02
