0 [5.00e-02, 1.00e+00]
1000 [2.38e-02, 1.97e+00]
2000 [2.52e-02, 1.52e+00]
3000 [2.67e-02, 1.56e+00]
4000 [2.76e-02, 1.55e+00]
5000 [3.04e-02, 1.57e+00]
6000 [3.51e-02, 1.60e+00]
7000 [4.07e-02, 1.64e+00]
8000 [4.71e-02, 1.69e+00]
9000 [5.36e-02, 1.73e+00]
10000 [6.05e-02, 1.76e+00]
11000 [6.60e-02, 1.79e+00]
12000 [7.02e-02, 1.81e+00]
13000 [7.38e-02, 1.83e+00]
14000 [7.65e-02, 1.84e+00]
15000 [7.86e-02, 1.86e+00]
16000 [7.98e-02, 1.87e+00]
17000 [8.19e-02, 1.88e+00]
18000 [8.29e-02, 1.89e+00]
19000 [8.47e-02, 1.90e+00]
20000 [8.59e-02, 1.90e+00]
